Categoria: info, Hora de evento:18/7/2023, 1:41:23 p. m., tag:Log de evento, mensaje:/api/v1/citas/1 HTTP STATUS: 200
Categoria: info, Hora de evento:18/7/2023, 1:42:28 p. m., tag:Log de evento, mensaje:Server is listening in port 8025
Categoria: info, Hora de evento:18/7/2023, 1:42:47 p. m., tag:Log de evento, mensaje:/api/v1/citas/delete/8 HTTP STATUS: 200
Categoria: info, Hora de evento:18/7/2023, 1:52:29 p. m., tag:Log de evento, mensaje:Server is listening in port 8025
Categoria: info, Hora de evento:18/7/2023, 1:56:21 p. m., tag:Log de evento, mensaje:Server is listening in port 8025
Categoria: info, Hora de evento:18/7/2023, 4:10:31 p. m., tag:Log de evento, mensaje:NaN HTTP STATUS: undefined
Categoria: error, Hora de evento:18/7/2023, 4:10:31 p. m., tag:Log de evento, mensaje:Error consultando la lista de citas
Categoria: info, Hora de evento:18/7/2023, 4:10:31 p. m., tag:Log de evento, mensaje:NaN HTTP STATUS: undefined
Categoria: error, Hora de evento:18/7/2023, 4:10:31 p. m., tag:Log de evento, mensaje:Error al crear nueva cita
Categoria: info, Hora de evento:18/7/2023, 4:10:31 p. m., tag:Log de evento, mensaje:NaN HTTP STATUS: undefined
Categoria: error, Hora de evento:18/7/2023, 4:10:31 p. m., tag:Log de evento, mensaje:Error al consultar la cita especificada
Categoria: info, Hora de evento:18/7/2023, 4:10:31 p. m., tag:Log de evento, mensaje:NaN HTTP STATUS: undefined
Categoria: info, Hora de evento:18/7/2023, 4:10:32 p. m., tag:Log de evento, mensaje:NaN HTTP STATUS: undefined
Categoria: error, Hora de evento:18/7/2023, 4:10:32 p. m., tag:Log de evento, mensaje:Error consultando la lista de doctores
Categoria: info, Hora de evento:18/7/2023, 4:10:32 p. m., tag:Log de evento, mensaje:NaN HTTP STATUS: undefined
Categoria: error, Hora de evento:18/7/2023, 4:10:32 p. m., tag:Log de evento, mensaje:Error al consultar el doctor especificado
Categoria: info, Hora de evento:18/7/2023, 4:10:32 p. m., tag:Log de evento, mensaje:NaN HTTP STATUS: undefined
Categoria: error, Hora de evento:18/7/2023, 4:10:32 p. m., tag:Log de evento, mensaje:No existe id en la base de datos
